"REFNO","ROCKUNITNO","ROCKNAME","PLACE","CONTINENT","TERRANE","RLAT","RLONG","ROCKTYPE","STRATA","STRATAGE","LATSPREAD","LOWAGE","HIGHAGE","METHOD","ISOTOPEDATA","STRUCTURE","STATUS"
"1593","883","Nogam Formation","South Korea","Asia",,"37.0","128.0","sediments","Probably Early Triassic,overlies Gobangsan Formation.","T1",,"245","251","stratigraphic",,,
"1593","884","Bansong and Nampo Formations","South Korea","Asia",,"36.7000008","127.300003","sediments","Late Jurassic(Bansong),Early Jurassic(Nampo)","J",,"146","200","fossils",,,
"1593","885","Gyeongsang Supergroup","South Korea","Asia",,"36.0","128.5","sediments, extrusives","Sindong, Hayan, Yuchon Groups","K",,"65","146","fossils",,,
"1594","886","Kunimi Formation","Niu Mountains, Fukui, Japan","Asia",,"36.2999992","136.100006","sediments",,"N1",,"11","14","Fission track","Fission track ages 11.1+/-1.5 and 14.1+/-2.0 Ma","Dips 9-45 degrees",
"1594","887","Uchiura Group","Uchiura, Fukui, Japan","Asia",,"35.0999985","135.5","sediments, intrusives","Imadobana and Shimo Formations","N1",,"13","18","Fission track","Fission track age 15.2+/-2.3 Ma","Dips 8-20 degrees",
"1594","888","Ito-o Formation","Fukui, Japan","Asia",,"35.9000015","136.0","extrusives, andesites, tuffs","Umera,Nunogataki,Yokoyama,Sasakawa Members","N1",,"15","20","Fission track","Fission track ages 15.4,16.0,18.6,19.4 Ma","Dips 12-50 degrees",
"1594","889","Nishitani Rhyolites","Fukui, Japan","Asia",,"36.0","136.300003","extrusives, rhyolites",,"E3-N1",,"21","28","Fission track","Fission track ages 21.7,24.5,27.2 Ma",,
"1597","890","Thetford Mines Ophiolite","Quebec, Canada","North America",,"46.0999985","-71.4000015","extrusives,pillow lavas,intrusives,dykes",,"NP3-CB1",,"520","580","K-Ar","K-Ar age pillow lavas 550 Ma",,
"2255","891","Mount Ham-Asbestos Ophiolite","Quebec, Canada","North America",,"45.7999992","-71.6999969","extrusives,intrusives,gabbro,diabase",,"CB2-3",,"488","513","stratigraphic","K-Ar age 480 Ma cited, but considered too young",,
"1598","892","Granites","South Korea","Asia",,"36.2000008","128.300003","intrusives, granites",,"K",,"71","121","K-Ar","K-Ar ages 71,73,84.4,87.8,112,121 Ma",,
"1599","893","Granitic rocks, Wright Valley","East Antarctica","Antarctica",,"-77.5","161.600006","intrusives, granites",,"CB1-O2",,"457","543","Rb-Sr","Rb-Sr ages 500+/-43 Ma",,
"1599","894","Vanda lamprophyre and porphyry","Wright Valley, East Antarctica","Antarctica",,"-77.5","161.600006","intrusives",,"O1-2",,"463","480","Rb-Sr","Rb-Sr Vanda porphyry 470+/-7, 480+/-44 Ma",,
"1599","895","Vanda Red Dyke","Wright Valley, East Antarctica","Antarctica","East Antarctica","-77.5","161.600006","intrusives","Presumed associated with granodiorite intrusions at CB-O","CB1-O2",,"465","540","correlation",,,
"1599","896","Theseus granodiorite","Wright Valley, East Antarctica","Antarctica","East Antarctica","-77.5","161.600006","intrusives","Correlated with other granite intrusions","CB1-O2",,"465","540","correlation",,,
"1599","897","Ferrar dolerites","Wright Valley, East Antarctica","Antarctica","East Antarctica","-77.5","161.600006","intrusives",,"J2",,"175","178","40Ar/39Ar","40Ar/39Ar age Kirkpatrick Basalts 176.6+/-1.8 Ma (REFNO 970)",,"Superseded study"
"1600","898","Miura Group","Miura Peninsula. Japan","Asia",,"35.2000008","139.5","sediments","Middle Miocene to Pliocene","N1-2",,"2","12","Fission track,fossils","Fission track ages 3.7+/-0.3 and 5.1+/-0.5 Ma",,
"1601","899","Shimokura Dyke Swarm","NE Japan","Asia",,"38.2999992","140.699997","intrusives, basalt, andesite","Intrudes Late Miocene tuffs","N1",,"6","10","K-Ar","K-Ar age 7.9,8.2 Ma cited",,
"1602","900","Hongjeom Formation","South Korea","Asia",,"36.7999992","128.5","sediments","Ogcheon zone","C",,"299","359","stratigraphic",,,
"1602","901","Gobangsan Formation","South Korea","Asia",,"37.0999985","129.0","sediments, redbeds","Ogcheon zone","P",,"251","299","stratigraphic",,,
"1602","902","Nogam Formation","South Korea","Asia",,"37.0999985","129.0","sediments, redbeds","Ogcheon zone","T",,"200","251","stratigraphic",,,
"1603","903","Mimer Valley Formation (Billefjorden sediments)","Spitsbergen (Svalbard), Norway","Europe","Spitsbergen","78.0","16.0","sediments","Old Red Sandstone age","D2",,"385","398","stratigraphic",,,
"1604","904","Kap Irmingen Dykes","East Greenland, Denmark","Greenland",,"68.1999969","-31.0","intrusives",,"E1-2",,"53","60","stratigraphic",,,
"1604","905","Jacobsen Fjord Dykes","East Greenland, Denmark","Greenland",,"68.1999969","-31.0","intrusives",,"E1-2",,"53","60","stratigraphic",,,
"1605","906","NW diorite","Jersey, Channel Islands, U.K.","Europe",,"49.0","-2.0","intrusives, diorite",,"CB",,"488","542","stratigraphic",,,
"1606","907","Lizard Complex","SW England, U.K.","Europe",,"50.0","-5.0","intrusives, gabbro, peridotite","Mafic-ultramafic complex","D",,"359","416","stratigraphic",,,
"1607","908","Vectis Formation","Isle of Wight, U.K.","Europe",,"50.5999985","-1.20000005","sediments","Lower Aptian to Upper Barremian","K1",,"118","128","magnetostratigraphy,fossils",,,
"1608","909","Hornelen Old Red Sandstone","Norway","Europe",,"62.0","5.0","sediments","Upper Lower Devonian age","D1",,"398","409","fossils",,"DU-CL Svalbardian/Solundian orogeny",
"1609","910","Intrusive rocks, Antarctic Peninsula","Cole, Jason Peninsulas, Antarctic Peninsula, Antarctica","Antarctica","Antarctic Peninsula","-66.6999969","-63.4000015","intrusives, granite","Mt. Hayes granodiorite, dykes, volcanics","J2",,"170","180","Rb-Sr","Mt.Denuce pluton Rb-Sr 178+/-2; dykes 174+/-5 Ma",,
"1610","911","Munmorah Conglomerate, Patonga Claystone","Sydney Basin, New South Wales, Australia","Australia",,"-33.5","151.5","sediments, redbeds",,"T1",,"245","251","stratigraphic",,"Essentially flat lying",
"1611","912","Tramore Volcanics","Ireland","Europe","East Avalon","52.0999985","-7.4000001","extrusives,intrusives,basalt,rhyolite",,"O2",,"461","472","stratigraphic",,,
"1612","913","Walli and Mt Pleasant Andesites","SE Australia","Australia","Molong-Monaro","-32.5","149.0","extrusives, intrusives",,"O1",,"472","488","stratigraphic",,,
"1612","914","Molong High Formations","SE Australia","Australia","Molong-Monaro","-32.5","149.0","sediments, limestones, tuffs, sandstones","Cliefden Caves Limestone,Malongulli Fm,Angullong Tuff","O2-3",,"444","472","stratigraphic",,"Folding in Benambran orogeny SL-M",
"1612","915","Cowra Trough-Molong High Sediments","SE Australia","Australia","Molong-Monaro","-33.5999985","149.0","sediments","Rockdale,Millambri,Belubula Shale,Narragnal Limestone","S1-2",,"423","444","stratigraphic",,,
"1612","916","Cowra Trough-Molong High Sediments","SE Australia","Australia","Molong-Monaro","-33.5999985","149.0","sediments","Canowindra phyllite,Up.Avoca V shale,Ghost Hill,Mumbil Fms","S2-4",,"416","428","stratigraphic",,,
"1612","917","Wellington-Cowra Area Sediments and Intrusions","SE Australia","Australia","Molong-Monaro","-33.5999985","149.0","sediments, intrusives","Cowra granodiorite, Cunninham,Tenandra Fms,dolerite intrus.","D1-2",,"385","416","stratigraphic",,,
"1612","918","Ordovician-Silurian formations","SE Australia","Australia","Molong-Monaro","-33.5999985","149.0","sediments","ROCKUNITS 913-916 overprints","O1-S4",,"416","488","stratigraphic",,,
"1612","919","Ordovician to Devonian formations","SE Australia","Australia","Molong-Monaro","-33.5999985","149.0","sediments, extrusives","ROCKUNITS 913-917, overprints","O1-D2",,"385","488","stratigraphic",,,
"1614","920","Nash Hills-Pagano Nunatek Intrusives","Ellsworth-Whitmore Mountains, Antarctica","Antarctica","Ellsworth-Whitmore Mountains","-82.8000031","-88.5999985","intrusives, granite, baked sediments",,"J1-2",,"167","183","Rb-Sr","Rb-Sr wr isochron on granite 175+/-8 Ma",,
"1615","921","Pastos Blancos Formation","Central Andes, Chile","South America",,"-31.1000004","-70.0999985","extrusives, rhyolite lavas, ignimbrites","Intruded by granite plutons 276+/-4 Ma (K-Ar biotite)","C2-P1",,"271","318","stratigraphic",,"Dips 60 degrees to NNW",
"1615","922","Cifuncho Formation","Central Andes, Chile","South America",,"-25.6000004","-70.5999985","sediments, extrusives, intrusives","Overlain by Hettangian sediments","T3",,"200","228","fossils",,,
"1615","923","Pichidangui Formation","Central Andes, Chile","South America",,"-31.2000008","-71.5","extrusives, lavas, tuffs, breccias","Probably Carnian,underlain by Anisian,overlain by Upp.Norian","T3",,"217","228","fossils",,,
"1616","924","Truk Island lavas","Truk Island, Caroline Islands, Trust Territory U.S.A.","Pacific Ocean",,"7.4000001","151.800003","extrusives",,"N1",,"9","12","K-Ar","K-Ar ages 9.9+/-0.7, 11.2+/-1.2 Ma",,
"1616","925","Sankakuyama and Hagman Formations","Saipan Island, Marianas Islands, Trust Territory U.S.A.","Pacific Ocean","Philippine Sea","15.1999998","145.800003","extrusives",,"E2",,"36","42","K-Ar,stratigraphic","K-Ar ages 40.95,41.5 Ma",,
"1616","926","Fina Susa Formation","Saipan Island, Marianas Islands, Trust Territory U.S.A.","Pacific Ocean","Philippine Sea","15.1000004","145.699997","extrusives",,"N1",,"10","16","K-Ar","K-Ar age 13 Ma",,
"1616","927","Marianas Limestone","Saipan Island, Marianas Islands, Trust Territory U.S.A.","Pacific Ocean","Philippine Sea","15.1999998","145.800003","sediments, limestone",,"N3",,"0","2","stratigraphic",,,
"1617","928","Plio-Pleistocene rocks","Luzon, Philippines","Pacific Ocean",,"14.8000002","120.900002","sediments, intrusives","Bamban,Antipolo,Guadeloupe,Mariveles Formations","N2-3",,"0","5","stratigraphic,K-Ar","K-Ar age 3.26+/-0.6 Ma cited",,
"1617","929","Late Miocene rocks","Luzon, Philippines","Pacific Ocean",,"14.8000002","121.900002","extrusives, sediments","Rosario, Gasan Formations","N1",,"5","11","stratigraphic, K-Ar","K-Ar age 9.6+/-0.5 Ma cited",,
"1617","930","Early to mid Miocene rocks","Luzon, Philippines","Pacific Ocean",,"15.8000002","120.800003","sediments, intrusives","Klondyke, Moriones, Mahinhin Formations","N1",,"11","20","stratigraphic,K-Ar","K-Ar ages 12.4+/-0.4, 15.0+/-1.6, 15.0,17.5 Ma",,
"1617","931","Oligocene rocks","Luzon, Philippines","Pacific Ocean",,"16.3999996","120.599998","sediments, extrusives","Pugo formation and other sediments","E3",,"23","34","stratigraphic",,,
"1617","932","Zambales Ophiolite","Luzon, Philippines","Pacific Ocean",,"15.6999998","120.099998","sediments, intrusives",,"E2",,"34","56","stratigraphic",,,
"1618","933","Gyeongsang Supergroup","South Korea","Asia",,"35.5","128.5","sediments, extrusives","Yuchon, Hayang, Sindong Groups","K2",,"65","90","stratigraphic,K-Ar","K-Ar age 68.1 Ma, intruding rocks 62-88 Ma.",,
"1619","934","Bushveld Complex Merensky Reef Footwall","Transvaal, South Africa","Africa","Kaapvaal","-25.5","27.5","intrusives",,"PP","2038","2038","2062","Rb-Sr","Rb-Sr 2050+/-12 Ma - see REFNO 1407",,
"1620","935","Truk Island Volcanics","Truk Island, Caroline Islands, Trust Territory U.S.A.","Pacific Ocean",,"7.30000019","151.199997","extrusives, intrusives",,"N1",,"5","14","K-Ar","K-Ar ages (12) 4.8 to 14 Ma (mean 10.9 Ma)",,
"1621","936","Yelang Formation","Sichuan/Guizhou Provinces, China","Asia","South China","28.6000004","106.900002","sediments",,"T1",,"245","251","fossils",,"Folding KU-TPA.Dips 25-40 NW, up to 72 SE",
"1621","937","Xiaqinglong, Shangqinglong, Huanmaqing Formations","Nanjing, Jiangsu Province, China","Asia","South China","32.0","119.0","sediments, limestones, siltstones","Lower to Upper Triassic Formations","T",,"200","251","stratigraphic",,"Dips 18 to 75 NW to SW",
"1622","938","Valle Formation","Baja California, Mexico","North America","Vizcaino","27.7000008","-114.5","sediments","Cenomanian to Santonian","K2",,"83","100","fossils",,,
"1623","939","Franciscan Volcanics","California, U.S.A.","North America","Nicasio","38.0","-122.699997","extrusives, pillow lavas, intrusives","Valanginian age","K1",,"136","140","fossils",,,
"1624","940","Coloso Formation","Northern Chile","South America",,"-24.0","-70.5","sediments","Underlies Neocomian sediments, overlies Jurassic volcanics","J3-K1",,"136","149","stratigraphic",,,
"1625","941","Melilite basalts","Cape Province, South Africa","Africa",,"-32.5999985","20.7999992","intrusives","post-Karoo, intrude Cretaceous sediments","K2",,"64","77","K-Ar","K-Ar wr ages 63.7+/-1.3 and 76.8+/-1.3 Ma",,
"1626","942","Leicester diorites","U.K.","Europe",,"52.5999985","-1.10000002","intrusives",,"NP3-CB1",,"524","568","Rb-Sr","Rb-Sr wr ages 546+/-22, 552+/-58 Ma",,
"1627","943","Lena River sediments","Yakutsk, Siberia, Russia","Asia","Siberian Platform","61.0","126.800003","sediments, limestones","Tommotian and Atdabanian age","CB1",,"513","542","fossils",,,
"1628","944","Billefjorden Group, Spitsbergen","Spitsbergen (Svalbard), Norway","Europe","Spitsbergen","78.6999969","16.0","sediments, redbeds","Tournaisian to Namurian","C1",,"318","359","fossils",,,
"1629","945","Ain Ech Chebbi, Hassi Bachir Formations","Algeria","Africa",,"26.6000004","1.0","sediments, redbeds","Lower Moscovian to Upper Namurian","C2",,"310","318","stratigraphic",,"Dips 24-35 W and 11-32 NNE.Early Permian folding.",
"1630","946","Upper Siwalik Subgroup","Northern Pakistan","Asia",,"33.0","73.0","sediments",,"N2-3","150 km","1","5","Fission track,magnetostrat.","Fission track ages on interbedded tuffs 2.3,2.5 Ma","Very recent folding at 0.5Ma",
"1631","947","Middle Siwalik sediments","Potwar Plateau, Pakistan","Asia",,"32.7999992","72.9000015","sediments",,"N1-3",,"1","14","magnetostratigraphy,stratigr.",,"Dips 10-90 degrees",
"1632","948","East Fork, Washakia Basin sediments","Wyoming, U.S.A.","North America",,"43.0","-109.5","sediments","Middle Eocene","E2",,"38","50","fossils",,"Dips up to 20 degrees",
"1632","949","San Diego Area sediments","California, U.S.A.","North America",,"32.5","-117.5","sediments","Early/Middle Eocene","E2",,"38","56","fossils",,,
"1633","950","Black Peaks Formation","Texas, U.S.A.","North America",,"29.5","-103.0","sediments","Chron 26 to 24","E1-2",,"53","62","fossils",,"Dips less than 5-8 degrees",
"1634","951","Sediments, Catamarca Province","NW Argentina","South America",,"-27.0","-66.5","sediments","Huayquerian and Montehermosan age","N1-2",,"3","8","K-Ar,fossils","K-Ar ages 3.4 to c.8 Ma",,
"1635","952","Chinji and Nagri Formations, Siwaliks","Potwar Plateau, Pakistan","Asia",,"32.7999992","72.5","sediments","Lower to Middle Siwaliks","N1",,"8","18","fossils","K-Ar on tuffs from Nagri Formation 9.5 Ma",,
"1636","953","Salla Beds","Northern Bolivia","South America",,"-17.2000008","-67.5999985","sediments",,"E3-N1","Thickness 540m","24","29","magnetostratigraphy,K-Ar,F-Tr","K-Ar 26.4+/-1 Ma; Fission track 22 Ma from interbedded tuffs",,
"1637","954","Kentland cryptoexplosion structure","Indiana, U.S.A.","North America",,"41.0","-87.5","sediments, limestone","Quimby's Mill Limestone","O2",,"461","472","fossils",,"Cryptoexplosion structure",
"1638","955","Fort Union Formation","Montana, U.S.A.","North America",,"45.0","-110.0","sediments","Middle to Late Paleocene","E1",,"56","62","fossils",,,
"1639","956","Volcanics, Macquarie Island","Macquarie Island, Australia","Pacific Ocean",,"-54.5","159.0","extrusives, basalts, intrusives",,"E3",,"23","30","magnetic lineations",,,
"1640","957","Mt.Gambier Volcanics","South Australia","Australia",,"-38.0","140.699997","extrusives, basalts, baked contacts",,"N4",,"0","1","C14","C14 ages 4830+/-70,1410+/-90 years BP.",,
"1640","958","Mt.Schank Volcanics","South Australia","Australia",,"-38.0","140.699997","extrusives, basalts",,"N4",,"0","1","C14","C14 ages 18,100+/-350 years BP.",,
"1641","959","Mount Somers Volcanics","South Island, New Zealand","Pacific Ocean",,"-43.7000008","171.399994","extrusives, basalt, rhyolite",,"K2",,"92","98","K-Ar","K-Ar ages 92 to 98 Ma",,
"1642","960","Rangitoto Island Lavas","Auckland, New Zealand","Pacific Ocean",,"-36.7999992","174.899994","extrusives, basalts",,"N4",,"0","1","C14","C14 ages AD850-1800 years.",,
"1643","961","Ignimbrites, Matahama Basin","New Zealand","Pacific Ocean",,"-38.0999985","176.199997","extrusives, ignimbrites","Older than Brunhes Epoch.Rahopaka,Pukerimu-Tikorangi ignimbr","N3",,"0","1","Fission track","Fission track ages 1.03,0.72 Ma",,
"1644","962","Volcanics, Lord Howe Island","Lord Howe Island, Australia","Pacific Ocean",,"-31.5","159.100006","extrusives, basalts, intrusives","Mount Lidgebird and North Ridge Basalt,Boat Harbour Breccia","N1",,"5","7","K-Ar","K-Ar ages (12) 4.40-7.20 Ma, mean 6.38 Ma",,
"1645","963","Ferruginized sediments","Bredbo and Bunyan, New South Wales, Australia","Australia",,"-36.0999985","149.100006","sediments, weathered volcanics",,"E3-N2",,"5","35","magnetic",,,
"1646","964","Hematised Hawkesbury Sandstone","Lapstone Monocline, New South Wales, Australia","Australia",,"-33.5999985","150.600006","sediments","Folded hematised sediments, Miocene hematisation","N1",,"8","23","magnetic",,,
"1647","965","Northampton Dykes","Western Australia","Australia",,"-27.7999992","114.699997","intrusives, dolerite dykes","Correlated with Mundine Well Dykes","NP2",,"752","758","U-Pb, K-Ar","U-Pb of Mundine Well Dykes 755+/-3 Ma; Highest K-Ar 750,746",,"Superseded study"
"1648","966","Wooltana Volcanics","Adelaide Geosyncline, South Australia","Australia",,"-30.2999992","139.5","extrusives","Callan Beds at base of Adelaidean","NP1-2",,"800","880","Rb-Sr","Rb-Sr age 830+/-50. Overlying Burra Group 849+/-32 Ma.",,
"1648","967","Copley Quartzite","Adelaide Geosyncline, South Australia","Australia",,"-30.5","138.600006","sediments","Burra Group, overlying Callana Beds (<849+/-32 Ma)","NP2",,"750","850","stratigraphic",,,
"1648","968","Merinjina Tillite","Adelaide Geosyncline, South Australia","Australia",,"-30.3999996","139.399994","sediments, tillite","Yudnamutana Subgroup, Umberatana Group-Sturtian glacials","NP2",,"750","850","stratigraphic",,,
"1648","969","Tapley Hill Formation","Adelaide Geosyncline, South Australia","Australia",,"-30.6000004","138.600006","sediments","Farina Subgroup, Umberatana Group-interglacial sequence.","NP2",,"697","803","stratigraphic,Rb-Sr","Rb-Sr isochron 750+/-53 Ma - see REFNOS 48,982",,
"1648","970","Angepena Formation","Adelaide Geosyncline, South Australia","Australia",,"-30.5","139.300003","sediments, redbeds","Willochra Subgroup Marinoan-interglacial seq.<Tap.Hill","NP2",,"620","650","Rb-Sr,stratigraphic","Early Marinoan Rb-Sr age 724+/-40 Ma; Angepena 614+/-98 Ma",,
"1648","971","Yerelina Subgroup","Adelaide Geosyncline, South Australia","Australia",,"-30.2000008","139.0","sediments, sandstone, tillite","Balparana Sandstone, Mount Curtis tillite, Fortress Hill Fms","NP2",,"650","700","stratigraphic",,,
"1648","972","Brachina Formation","Adelaide Geosyncline, South Australia","Australia",,"-30.5","139.0","sediments","Wilpena Group, youngest Precambrian sediments","NP3",,"580","610","stratigraphic,Rb-Sr","Rb-Sr isochron 601+/-68 Ma - see REFNOS 48,982",,
"1648","973","Bunyeroo Formation","Adelaide Geosyncline, South Australia","Australia",,"-31.5","138.600006","sediments","Wilpena Group, overlies Brachina Formation","NP3",,"570","590","stratigraphic,Rb-Sr","Rb-Sr isochron 588+/-35 Ma - see REFNO 48,982",,
"1648","974","Pound Quartzite","Adelaide Geosyncline, South Australia","Australia",,"-31.3999996","138.600006","sediments","Wilpena Group-Ediacara fauna - see REFNO 48 (Poundian age)","NP3",,"542","555","fossils",,,
"1649","975","Middle Tertiary Volcanics","Ajo Mining District, Arizona, U.S.A.","North America","Colorado Plateau","32.4000015","-113.0","intrusives, extrusives",,"N1",,"20","25","K-Ar","K-Ar ages 20-25 Ma",,
"1649","976","Laramide intrusives","Ajo Mining District, Arizona, U.S.A.","North America","Colorado Plateau","32.4000015","-112.900002","intrusives, granodiorite",,"E1",,"62","65","K-Ar","K-Ar ages 62.9 to 65.2 Ma",,
"1650","977","Sotra Dykes","Western Norway","Europe",,"60.5","4.0","intrusives",,"P2",,"260","268","K-Ar","K-Ar ages (8) 249-271, mean 262+/-6 Ma",,
"1651","978","Caribou Lake Gabbro","Northwest Territories, Canada","North America","Slave Province","62.0999985","-112.800003","intrusives, gabbro","Blachford Lake Intrusive Suite","PP","6 km","2176","2196","U-Pb","U-Pb zircon age 2186+/-10;Rb-Sr 2092,2130;K-Ar 2127,2166 Ma",,
"1651","979","Easter Island Dyke","Northwest Territories, Canada","North America","Slave Province","61.7000008","-112.800003","intrusives, gabbro","Intrudes Archean basement,overlain by Great Slave Supergroup","PP","10 km","2200","2500","K-Ar,stratigraphic","K-Ar 2170,2200 Ma(oldest ages).","Overlying Great Slave Group dips 8 to NE",
"1652","980","Bering Sea Lavas","Pribilof and Nunivak Islands, Alaska, U.S.A.","North America",,"59.2999992","-168.0","extrusives","Brunhes and Matuyama Epochs (0-2.5 Ma)","N2-Q2",,"0","3","magnetostratigraphy,K-Ar","K-Ar data <2.5Ma",,
"1653","981","Glenham Porphyry","South Island, New Zealand","Pacific Ocean","Murihiku","-46.4000015","169.0","extrusives, intrusives",,"T3-J1",,"190","230","K-Ar","K-Ar ages mostly 190+/-5, but one date 230+/-5 Ma","Sediments dip <30 degrees.Folding post JM and pre-Tertiary.",
"1654","982","Volcanics, Lesser Antilles Island Arc","Antigua to Grenada islands, Carribean","Atlantic Ocean",,"14.0","-61.0","extrusives, intrusives",,"N2-4",,"0","5","K-Ar","K-Ar ages(44) 0-5 Ma",,
"1655","983","Northern Volcanic Field","Sudan","Africa","East Sahara","19.0","33.2999992","extrusives, basalts, latites, phonolites",,"K2",,"78","83","K-Ar","K-Ar ages 62.7+/-1.6, 80.4+/-2.0 Ma",,
"1655","984","Sabaloka Igneous Complex","Sudan","Africa","East Sahara","16.2999992","32.5999985","extrusives, intrusives, rhyolite,granite","Intrudes Precambrian gneiss, overlain by Nubian Series","D1-2","15x20 km","385","405","K-Ar, Rb-Sr","Rb-Sr 384+/-14, 399+/-7; K-Ar 388+/-10, 402+/-10 Ma",,"Superseded study"
"1655","985","Nabati Complex","Sudan","Africa","East Sahara","18.1000004","33.7000008","intrusives, granite, diorite",,"NP3","10 km","569","587","Rb-Sr, K-Ar","Rb-Sr 578+/-9; K-Ar 575+/-14, 603+/-15 Ma",,
"1655","986","Bir Safsaf dykes","SW Egypt","Africa","East Sahara","23.1000004","29.2999992","intrusives, granodiorite, porphyry",,"NP3",,"573","599","Rb-Sr, K-Ar","Rb-Sr 581+/-75; K-Ar wr 502+/-17, biotite 586+/-13 Ma",,
"1655","987","Nusab el Balgum Complex","SW Egypt","Africa","East Sahara","23.2999992","29.2999992","extrusives, rhyolites",,"T3","15x5 km","211","221","Rb-Sr","Rb-Sr wr (5) 216+/-5; K-Ar 161+/-4 Ma",,
"1655","988","Kadaweb Complex","Sudan","Africa","East Sahara","20.1000004","36.2999992","intrusives, gabbro",,"NP2",,"713","725","Rb-Sr","Rb-Sr wr 717+/-7; isochron 719+/-6 Ma",,
"1657","989","Ferrar Dolerite","McMurdo Sound, Antarctica","Antarctica","East Antarctica","-77.1999969","160.0","intrusives, dolerite","Wright Valley,Allan Hills,Carapace Nunatek,Mt Fleming sills","J2",,"175","178","40Ar/39Ar","40Ar/39Ar age Kirkpatrick Basalts 176.6+/-1.8 Ma (REFNO 970)",,
"1658","990","Beacon Group","McMurdo Sound, Antarctica","Antarctica","East Antarctica","-77.1999969","160.0","sediments","Devonian to Triassic","D-T",,"200","416","stratigraphic",,,
"1659","991","McMurdo Volcanics","McMurdo Sound, Antarctica","Antarctica","East Antarctica","-77.5","161.0","extrusives",,"N2-3",,"0","3","K-Ar","K-Ar ages 0.43,0.58,1.0,1.1,1.18,0.68,2.93,2.89,2.87 Ma",,
"1661","992","Buller Gorge dykes","South Island, New Zealand","Pacific Ocean",,"-41.7999992","171.5","intrusives","Intrudes Pororari Group (KL)","K2",,"78","84","K-Ar","K-Ar ages 78-84 Ma","Dips 5-10 degrees NE-SW",
"1662","993","Pleistocene Basalts","Jordan","Middle East","Arabia","31.3999996","35.7999992","extrusives, basalts","Middle to Late Pleistocene","N3",,"0","2","stratigraphic",,,
"1662","994","Neogene Basalt","Jordan","Middle East","Arabia","32.2000008","36.5","extrusives, basalts",,"N1-2",,"5","23","stratigraphic",,,
"1662","995","Dykes","Jordan","Middle East","Arabia","29.5","35.0999985","intrusives","Dykes do not intrude overlying Cambrian strata","CB1-2",,"513","542","K-Ar,stratigraphic","K-Ar average age 535Ma",,
"1663","996","Basalts, Saudi Arabia","Usfan, Saudi Arabia","Middle East","Arabia","21.8999996","39.2999992","extrusives",,"N1",,"18","20","K-Ar","K-Ar age 18.7+/-0.6 Ma",,
"1663","997","Upper lavas, Madrakah","Madrakah, Saudi Arabia","Middle East","Arabia","22.0","40.0","extrusives","correlated with lavas at Jabal As Sirat","E3",,"23","30","K-Ar,correlation","Correlated lavas have K-Ar 24.7 and 29.4 Ma",,
"1663","998","Lower lavas, Madrakah","Madrakah, Saudi Arabia","Middle East","Arabia","22.0","40.0","extrusives","Separated from Upper Lavas by 20m of tuffs","E2-3",,"34","45","stratigraphic",,,
"1663","999","Usfan Formation","Saudi Arabia","Middle East","Arabia","21.7999992","39.7000008","sediments","Maastrichtian","K2",,"65","71","stratigraphic",,"Strike 289/Dip 29N",
"1664","1000","Arfan and Juqjuq formations","Saudi Arabia","Middle East","Arabia","21.2999992","43.7000008","extrusives, intrusives, sediments","Flows, redbeds, granite batholith and felsic dykes","NP2-3",,"590","620","Rb-Sr,K-Ar","Rb-Sr extrusives 610; K-Ar granite 596+/-12; Rb-Sr 620Ma","Dips 0-72 degrees",
"1664","1001","Hornblende diorite porphyry stock","Saudi Arabia","Middle East","Arabia","21.7000008","43.7000008","intrusives",,"CB1-2",,"501","542","Magnetic APWP",,,
"2697","1002","Feixianguan Formation","Sichuan Province, China","Asia","South China","29.6000004","103.400002","sediments, redbeds","Griesbachian to Nammalian","T1","Thickness 135m","245","251","fossils",,"Strike 335/Dips 94-101 (NE); Late Cretaceous folding",
"1666","1003","Takena Group","Southern Tibet, China","Asia","Lhasa","31.0","91.0","sediments, redbeds","Albian to Aptian","K1","250 km","100","125","fossils",,,
"1667","1004","Basalts, Vietnam","Vietnam","Asia",,"15.0","107.0","extrusives",,"N1-Q2",,"0","7","stratigraphic",,,"Superseded study"
"1668","1005","Volcanics, Chichi-jima","Bonin Islands (Ogasawara-shoto), Japan","Pacific Ocean",,"27.0","142.0","extrusives, intrusives, sediments",,"E2-3",,"23","56","fossils,K-Ar","K-Ar age 40 Ma cited","Dips generally <20 degrees",
"1668","1006","Volcanics, Haha-jima,Muko-jima,Yoma-jima","Bonin Islands (Ogasawara-shoto), Japan","Pacific Ocean",,"27.0","142.0","extrusives, intrusives",,"E2-3",,"23","56","fossils,K-Ar","K-Ar age 40 Ma reported on Haha-jima","Dips generally <20 degrees",
"1669","1007","Volcanics and sediments, Luzon and Marinduque","Philippine Islands","Pacific Ocean",,"15.0","121.0","extrusives, sediments","Late Miocene to Pleistocene","N1-3",,"0","10","stratigraphic,fossils",,,
"2648","1008","Porphyritic Series","Mendoza Province, Argentina","South America",,"-33.0","-68.0","extrusives,basalts,andesite,rhyolite",,"P2",,"258","268","K-Ar","K-Ar ages 262+/-6, 264+/-6 Ma",,
"1671","1009","Quelicai Volcanics","East Timor","Asia",,"-8.80000019","126.699997","extrusives, intrusives","Tertiary age","E1-N3",,"2","65","stratigraphic",,,
